ref_num,group,treatment,depth_category,log_organic_C_rr,per_OC_change,conc_sd,organic_C_st_t1,organic_C_st_t2,st_sd,log_organic_C_st_rr,per_OC_st_change,n
39a,irrigation,sprinkler,20-30cm,-0.117783036,-11.11111111,0.751287,20.385,18.72,1.481193252,-0.085206865,-8.167770419,3
39a,irrigation,sprinkler,30+cm,-0.346276237,-29.26829268,0.2077329,11.6965046,8.385249467,0.784104835,-0.332815899,-28.30978353,3
40,irrigation,drippers,0-10cm,-0.164524217,-15.17027864,1.05,14.47404489,12.34113399,1.025155199,-0.159419128,-14.73610809,4
40,irrigation,drippers,20-30cm,-0.36719957,-30.73286052,0.875,9.542013946,6.650843625,0.634372801,-0.360960861,-30.2993722,4
40,irrigation,drippers,30+cm,-0.409121419,-33.57664234,0.7,6.046525707,4.058409128,0.397628593,-0.398692788,-32.88031303,4
41a,irrigation,sprinkler,0-10cm,0.056862862,5.85106383,0.509180344,18.8,19.9,1.439606752,0.056862862,5.85106383,5
42,irrigation,sprinkler,0-10cm,0.476082675,60.97560976,1,17.25505147,26.12974979,1.540886433,0.414969565,51.43246509,2
42,irrigation,sprinkler,20-30cm,-0.007158227,-0.713266762,1,14.79409436,13.9810914,1.085990338,-0.056522269,-5.495456094,2
43,irrigation,floodfurr,0-10cm,0.007472015,0.75,0.70688259,19.36,19.5052,1.454917017,0.007472015,0.75,4
44,irrigation,drippers,10-20cm,-0.0650229,-6.295399516,0.06,8.9208,8.3592,0.652856996,-0.0650229,-6.295399516,4
45,irrigation,sprinkler,0-10cm,0.627189213,87.23404255,0.4,6.8694542,12.8881016,0.682839003,0.629219873,87.61463756,3
45,irrigation,sprinkler,10-20cm,0.559615788,75,0.35,4.6750176,8.2288752,0.449571184,0.565416407,76.0180582,3
45,irrigation,sprinkler,20-30cm,0.535518236,70.83333333,0.9,3.4901712,5.9296168,0.329664251,0.530008801,69.89472608,3
45,irrigation,sprinkler,30+cm,0.420921366,52.3364486,0.46875,1.958750694,3.00069527,0.17588111,0.42653715,53.19434372,3
46,irrigation,floodfurr,0-10cm,0.056121546,5.772623859,1.336013805,10.37666667,10.37666667,0.777640698,0,0,17
